Time,Monday,Tuesday,Wednesday,Thursday,Friday
09:00 - 09:30,CS309,CS309,CS304,CS304,Theory Basket
09:30 - 10:00,CS309,CS309,CS304,CS304,Theory Basket
10:00 - 10:30,CS309,CS309,CS304,CS304,Theory Basket
10:30 - 11:00,CS303,CS303,Theory Basket,Theory Basket,Open Electives
11:00 - 11:30,CS303,CS303,Theory Basket,Theory Basket,Open Electives
11:30 - 12:00,CS303,CS303,Theory Basket,Theory Basket,Open Electives
12:00 - 12:30,CS309 (Tut),CS303 (Tut),CS304 (Tut),,
12:30 - 13:00,CS309 (Tut),CS303 (Tut),CS304 (Tut),,
13:00 - 13:30 ,Lunch Break,Lunch Break,Lunch Break,Lunch Break,Lunch Break
13:30 - 14:00,Lunch Break,Lunch Break,Lunch Break,Lunch Break,Lunch Break
14:00 - 14:30,,,,,
14:30 - 15:00,CS303 (Lab),,,,
15:00 - 15:30,CS303 (Lab),,,,
15:30 - 16:00,CS303 (Lab),,,,
16:00 - 16:30,CS303 (Lab),,,,
16:30 - 17:30,,,,,
17:00 - 17: 30,,,,,
17:30 - 18:30,,,,,
