Course Title,Course Code,Lecture Hours,Tutorial Hours,Practical Hours,Self Study,Credits,Faculty,Lab Assistance
Digital Signal Processing,EC306,3,0,2,0,4,Dr. Rajeeb,
Introduction to VLSI Design,EC301,3,1,0,0,4,Dr. Jagadish D N,
Happiness and Wellbeing (Life Skill Basket),LSB,3,0,0,0,3,Dr. Chandrika Kamath,
Introduction to Algorithms (Elective 1),Int2Alg,3,1,0,0,4,Dr. Deepak,
Advanced Digital Communication System (Elective 2),ADCS,3,1,0,0,4,Dr. Chinmayananda,
Internet of Things /Cryptography and Information Security/ Parallel Computing,Elective 3,3,1,0,0,4,Dr. Prakash Pawar/Dr. Rajendra Hegadi/Dr. Pramod Yelmewad,
