Course Title,Course Code,Lecture Hours,Tutorial Hours,Practical Hours,Self Study,Credits,Faculty,Lab Assistance
Discrete Mathematics,CS201,3,1,0,0,4,Dr. Sadhvi Manerikar,Not Applicable
Design & Analysis of Algorithms,CS202,3,1,2,0,5,Dr. Dibyajyothi,Ms. Ashwini Chikkenkoppa & Ms. Chaitra D.
Object Oriented Programming,CS207,3,0,2,0,4,Dr. Vivekraj V K,Ms. Sahana E P & Ms. Madhu Asundi
Computer Architecture,CS208,3,1,2,0,4,Dr. Prabhu Prasad B M,Ms. Sahana E P & Ms. Anupama Patila
Industrial Social Psychology,HS206,3,0,0,0,3,Dr. Navyashree,Not Applicable
Probability,MA201,3,1,0,0,4,Dr. Anand Barangi,Not Applicable
