Course Title,Course Code,Lecture Hours,Tutorial Hours,Practical Hours,Self Study,Credits,Faculty,Lab Assistance
Statistics for Computer Science,CS309,3,1,0,0,4,Dr. Sunil C K ,Not Applicable
Computer Networks,CS303,3,1,2,0,5,Dr. Dr. Sadhvi ,"Ms. Ashwini Chikkenkoppa, Ms. Mamatha E"
Artificial Intelligence,CS304,3,1,0,0,4,Dr. Girish ,Not Applicable
Graph Theory / Advanced Algorithm Design,Theory Basket,4,0,0,0,4,Dr. Pavan / Dr. Suvadip Hazra,Not Applicable
Cryptography and Information Security / Parallel Computing / Internet of Things,Open Electives,4,0,0,0,4,Dr. Rajendra Hegadi / Dr. Pramod / Dr. Prakash,Not Applicable
Environmental Studies,HS101,0,0,0,8,2,Dr. Aswath,Not Applicable
