Course Title,Course Code,Lecture Hours,Tutorial Hours,Practical Hours,Self Study,Credits,Faculty,Lab Assistance
Industrial Social Psychology,HS206,3,0,0,0,3,Dr. Navyashree,Not Applicable
Design & Analysis of Algorithms,CS202,3,1,2,0,5,Dr. Vivekraj V K & Dr.Malay Kumar,"Ms. Basavaraj Choukimath,Ms.Ashwani Chikkenkoppa"
Computer Architecture,CS208,3,1,2,0,4,Dr. Prabhu Prasad B M,"Ms. Ashwini Chikkenkoppa,Mrs Chandrika Bhosge"
Discrete Mathematics,CS201,3,1,0,0,4,Dr.Animesh Roy,Not Applicable
Probability,MA201,3,1,0,0,4,Dr. Anand Barangi,Not Applicable
Object Oriented Programming,CS207,3,0,2,0,4,Dr. Pramod Yelmewad,"Ms.Madhu Asundi,Ms.Vimal N B"


