Course Title,Course Code,Lecture Hours,Tutorial Hours,Practical Hours,Self Study,Credits,Faculty,Lab Assistance
Linear Algebra,MA202,3,1,0,0,4,Dr.Lakshman,Not Applicable
Electromagnetic Theory,EC207,3,1,0,0,4,Dr. Somen Bhattacharjee,Not Applicable
Linear Integrated Circuits,EC206,3,0,2,0,4,Dr. Prakash Pawar,"Anil Kabbur ,Shraddha,Ms Pooja Akki"
Signals and Systems,EC201,3,1,0,0,4,Dr. Sibasankar Padhy,Not Applicable
Microprocessors and Micro-controllers,EC202,3,0,2,0,4,Dr. Nataraj,Chaitra D Anil Kabbur
Professional Communication,HS102,2,1,0,0,3,Dr. Chandrika Kamath,Ms Gautami Naik
